,0
0,0.0
1,0.00016349114067312244
2,0.0003608911749718915
3,0.0008838371078309492
4,0.0011846567027186776
5,0.001529593768889394
6,0.00186816971129373
7,0.0019276256987553388
8,0.0016564571485205952
9,0.0014677780097079977
10,0.0015483180444920593
11,0.00143145804497735
12,0.001955994258778005
13,0.0024446722023149254
14,0.00335651877447205
15,0.003962364513834955
16,0.0047858222452704675
17,0.005200475175945346
18,0.00557593537631767
19,0.005822428922265066
20,0.006007927499194472
21,0.006070461449768845
22,0.006412628349138074
23,0.007087574360382593
24,0.007458520214856186
25,0.00765279098665698
26,0.007623909432782185
27,0.007358435114306059
28,0.00732780938133403
29,0.007368438494422551
30,0.007618779494260907
31,0.008067751713643137
32,0.008755419972420424
33,0.00919007966332829
34,0.009636333015294244
35,0.009988349396624322
36,0.010127062934239676
37,0.010449223073375922
38,0.010716595469104919
39,0.01119342325465769
40,0.011670507537136521
41,0.01178629024956176
42,0.01217000965095334
43,0.011932288299877325
44,0.01155636640503809
45,0.011783776579686335
46,0.012495145154431926
47,0.013199331815247727
48,0.01374736314747583
49,0.014423386445809814
50,0.01447237735868802
51,0.014684038622075941
52,0.015403512499685147
53,0.015370167899296844
54,0.015540225361277199
55,0.015286344703859164
56,0.015536993500008795
57,0.016125961741636698
58,0.01667989250316427
59,0.017367099067474648
60,0.018062308335878213
61,0.018442128983993618
62,0.018800968183556997
63,0.018983440096758848
64,0.019473195327385236
65,0.019942892498393434
66,0.020616196929311145
67,0.021123034855213385
68,0.02195967652864858
69,0.022452561021772947
70,0.02307071861358692
71,0.02335886726032709
72,0.024427125657997976
73,0.025100224891374832
74,0.026014123438940467
75,0.027189905348017337
76,0.028432581655411668
77,0.028936598115127207
78,0.029636578226355563
79,0.030358155378758495
80,0.030931785104207778
81,0.031188897622894216
82,0.03198691085926419
83,0.032837813761788535
84,0.03427081078832227
85,0.03556160591904618
86,0.03638496105171127
87,0.03729716671956488
88,0.03859452817159603
89,0.03941234297065813
90,0.04047193177222806
91,0.040919518908209544
92,0.041575484146925336
93,0.04242613055252361
94,0.0433675255705633
95,0.04352147502558685
96,0.045899201530199094
97,0.04700434418583797
98,0.048079476701127374
99,0.04876032214167136
100,0.05082368601369971
101,0.05268662318770174
102,0.053903188108022755
103,0.05586210643175788
104,0.058358180618056026
105,0.060251897423185714
106,0.06123776900820487
107,0.063405475829756
108,0.06420497674829714
109,0.06623468822362591
110,0.06773139908659391
111,0.06976326513610162
112,0.07061221866198789
113,0.07250490947941332
114,0.0754476474127591
115,0.07811803691001025
116,0.08112633545765796
117,0.08279023101703441
118,0.08451163318723438
119,0.0869695406309342
120,0.08974591465803496
121,0.09321534337936033
122,0.09640729372606979
123,0.09878394294359256
124,0.10083448196931773
125,0.10739439085340169
126,0.11059049645031338
127,0.11486337614284128
128,0.11739736057481165
129,0.12069868121079474
130,0.12451940812205722
131,0.12761363313993634
132,0.13099005607587097
133,0.1311652434763726
134,0.1342486443239718
135,0.14109613756155862
136,0.14818950875247025
137,0.15000817455703366
138,0.15482785439654453
139,0.15597352356650152
140,0.15547453444653683
141,0.15842281271348557
142,0.16025886900963612
143,0.16234870336443424
144,0.16606847308559797
145,0.17137913934098037
146,0.17694065959005326
147,0.18226881893579322
148,0.18825304611901938
149,0.1934971770717808
150,0.19721012397471124
151,0.2002997833473064
152,0.2048861535828696
153,0.2082353365452562
154,0.2129685256212984
155,0.21597169423042478
156,0.21921581605189566
157,0.22121141343605794
158,0.22451417045482702
159,0.22706728955748173
160,0.23049588396817772
161,0.23486802797109235
162,0.23892324437216245
163,0.24519002856914063
164,0.2486755652974228
165,0.2546823129107574
166,0.2593905191862009
167,0.2651989946756881
168,0.2710799048970957
169,0.2762650928562477
170,0.2805294568508302
171,0.2831912793507509
172,0.2897263593323918
173,0.294026786794779
174,0.2968399937804625
175,0.2965233739749293
176,0.2981411000876142
177,0.30269366402832215
178,0.30653152493424574
179,0.3096541698115327
180,0.31486116000940007
181,0.32058109276001
182,0.3254160085169291
183,0.3311104967724735
184,0.33370773334641124
185,0.3378841188953539
186,0.3417124894150131
187,0.348310718939851
188,0.3536158448616304
189,0.3604688271334349
190,0.36469630687004956
191,0.3710782581868304
192,0.3745991914909094
193,0.3776580199329917
194,0.38287044786569163
195,0.38763934131384187
196,0.3924436826371741
197,0.4010819348137686
198,0.4060840352670961
199,0.4126521520528141
200,0.4185506579633497
201,0.4262394098190409
202,0.4334118846619506
203,0.4383655584956373
204,0.4435679317488355
205,0.4489546749924884
206,0.4567410495782395
207,0.46593025715201913
208,0.4721607213842666
209,0.47779862641792137
210,0.48576413845683547
211,0.49673302430241684
212,0.5021158687927937
213,0.5148026684503805
214,0.5188607063176373
215,0.5247519277154726
216,0.5265902924839577
217,0.5332727042999298
218,0.5333292362224343
219,0.5365011285095255
220,0.5433305130641323
221,0.5484762004966703
222,0.5537243841008637
223,0.5571500031472173
224,0.5636262427340192
225,0.5708376538103054
226,0.583892526556794
227,0.5937261057082313
228,0.6025278490254989
229,0.6124283738746389
230,0.6219878091114992
231,0.6319613842851823
232,0.6448665654256199
233,0.6530926270420297
234,0.6649613554036283
235,0.6739994862879565
236,0.6877105294707017
237,0.6954510937054577
238,0.7010275420756275
239,0.7091262786179392
240,0.7176858888370024
241,0.7273859356887309
242,0.7349455156924561
243,0.7408785460892401
244,0.7400123559699223
245,0.7474266048153398
246,0.7489660480661902
247,0.733933584019749
248,0.7254146029137742
249,0.7231847212373452
250,0.7254279407539296
251,0.734783204437643
252,0.7406596516125371
253,0.7513061721214415
254,0.7599788461855136
255,0.768830452505208
256,0.7692492093866998
257,0.7806661440627296
258,0.787140075177197
259,0.7973069464343617
260,0.8069804202045501
261,0.8145711902344849
262,0.820013439412938
263,0.8235741297405569
264,0.8327100885524856
265,0.8360932830072684
266,0.8467614518567324
267,0.8596139485285565
268,0.8612265960021055
269,0.8760827440615702
270,0.8915410956040479
271,0.8973726045174957
272,0.9044920357960954
273,0.9157014131595541
274,0.9225993849921903
275,0.9256535964896034
276,0.9276009724516658
277,0.938520149192976
278,0.9483230000126709
279,0.957372981054983
280,0.9651786955089594
281,0.9750437724829173
282,0.9878990393215429
283,1.0000000000000002
